,title,link,thumbnail,sizeheight,sizewidth
49,xs청바지 | 무신사 추천 상품,https://image.msscdn.net/thumbnails/images/goods_img/20251002/5569648/5569648_17594044815780_big.jpg?w=780,https://search.pstatic.net/sunny/?type=b150&src=https://image.msscdn.net/thumbnails/images/goods_img/20251002/5569648/5569648_17594044815780_big.jpg?w=780,936,780
50,빅걸스토리 여성 와이드핏 밴딩 통 청바지 진청 연청 연청1번,http://shopping.phinf.naver.net/main_5727872/57278724020.20251018220956.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5727872/57278724020.20251018220956.jpg,1000,1000
51,로아앤제인 청바지 | 무신사 추천 상품,https://image.msscdn.net/thumbnails/images/goods_img/20250915/5464321/5464321_17579424727166_big.jpg?w=780,https://search.pstatic.net/sunny/?type=b150&src=https://image.msscdn.net/thumbnails/images/goods_img/20250915/5464321/5464321_17579424727166_big.jpg?w=780,936,780
52,남자 더스트 워싱 와이드 데님 팬츠 청바지 남자흑청바지 : 옴므티디,http://shop1.phinf.naver.net/20251017_160/1760696036056wyP5H_JPEG/94828976169542309_91553773.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20251017_160/1760696036056wyP5H_JPEG/94828976169542309_91553773.jpg,1000,1000
53,뱅뱅 인밴드 기모 테이퍼드 스판 청바지 NQL770,http://shopping.phinf.naver.net/main_5706510/57065106180.20251002150336.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5706510/57065106180.20251002150336.jpg,600,600
54,남자통청바지 남자와이드핏청바지 : 지다올JIDAOL,http://shop1.phinf.naver.net/20250428_267/1745821513252tfxbV_JPEG/414881185803365_1464608186.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250428_267/1745821513252tfxbV_JPEG/414881185803365_1464608186.jpg,1046,872
55,바닥 길이 하이웨이스트 청바지 여성용 dark blue : 나하시마켓,https://shop-phinf.pstatic.net/20250519_189/1747599266757VtOYW_JPEG/14898548893851209_175922678.jpeg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20250519_189/1747599266757VtOYW_JPEG/14898548893851209_175922678.jpeg,1125,1125
56,남자밴딩청바지 통청바지 남자흑청바지 남성와이드데님 : 170룸,http://shop1.phinf.naver.net/20250926_2/1758878883698CrKxS_JPEG/558450737556188_2141245298.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20250926_2/1758878883698CrKxS_JPEG/558450737556188_2141245298.jpg,860,860
57,블루포스 블루포스 데비런 와이드 밴딩 청바지 와이드핏 데님진 연청 M 30,http://shopping.phinf.naver.net/main_5696503/56965030450.20250928003303.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5696503/56965030450.20250928003303.jpg,1000,1000
58,(노컷진6탄) 기모 세미와이드 청바지 5컬러 : 포레스트핏,https://shop-phinf.pstatic.net/20241101_247/1730448968894zYd0H_JPEG/79836766657498851_1258242398.jpg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20241101_247/1730448968894zYd0H_JPEG/79836766657498851_1258242398.jpg,1000,750
59,남자 세미 와이드 청바지 밴딩 데님 팬츠 : 비브레이커스,http://shop1.phinf.naver.net/20251002_17/1759377998311uaNf9_JPEG/35150835349744715_1832177903.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20251002_17/1759377998311uaNf9_JPEG/35150835349744715_1832177903.jpg,1000,1000
60,미들워싱 밑단 컷팅 빈티지 남자 청바지 4컬러 BLDO2011,http://shopping.phinf.naver.net/main_5343320/53433209432.20250309010155.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5343320/53433209432.20250309010155.jpg,500,500
61,남성 일자핏 청바지 봄가을 그레이 바지 스트레이트 스판 캐주얼 가을 힛템 : 김해장유두처리두치,https://shop-phinf.pstatic.net/20251005_290/1759648599009wz5Ro_JPEG/93781515144944696_546996248.jpeg,https://search.pstatic.net/common/?type=b150&src=https://shop-phinf.pstatic.net/20251005_290/1759648599009wz5Ro_JPEG/93781515144944696_546996248.jpeg,1000,1000
62,놈시크 남자 와이드 청바지 뒷밴딩 YKK지퍼 빅 사이즈 데님 팬츠 연청 L 32 1007-3,http://shopping.phinf.naver.net/main_5667209/56672090568.20250910225442.jpg,https://search.pstatic.net/common/?type=b150&src=http://shopping.phinf.naver.net/main_5667209/56672090568.20250910225442.jpg,500,500
63,남자와이드청바지 남성더블턱청바지 : 설렌다,http://shop1.phinf.naver.net/20251010_63/1760086299537YEqha_JPEG/14748682484907153_444601572.jpg,https://search.pstatic.net/common/?type=b150&src=http://shop1.phinf.naver.net/20251010_63/1760086299537YEqha_JPEG/14748682484907153_444601572.jpg,1000,1000
